,Наименование вакансии,Ссылка на вакансию,Минимальная з/п,Максимальная з/п,Валюта
54,Лаборант химического анализа,https://kazan.hh.ru/vacancy/46929436?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
55,Инженер-химик,https://kazan.hh.ru/vacancy/46825097?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,50000.0,руб.
56,Лаборант,https://kazan.hh.ru/vacancy/46533321?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,40000.0,руб.
57,Инженер-химик (Исследователь),https://kazan.hh.ru/vacancy/45383395?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,66000.0,руб.
58,"Химик-технолог (индустрия красоты), г.Белгород",https://kazan.hh.ru/vacancy/46929483?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,,руб.
59,"Лаборант химического анализа, 5 разряд",https://kazan.hh.ru/vacancy/44345215?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,31294.0,31294.0,руб.
60,Инженер-химик (мкр-н Сомово),https://kazan.hh.ru/vacancy/44323635?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,32000.0,32000.0,руб.
61,Химик,https://kazan.hh.ru/vacancy/44230800?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
62,Химик,https://kazan.hh.ru/vacancy/44230857?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
63,Химик,https://kazan.hh.ru/vacancy/44230633?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
64,Химик,https://kazan.hh.ru/vacancy/44229585?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
65,Химик,https://kazan.hh.ru/vacancy/44230570?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
66,Химик,https://kazan.hh.ru/vacancy/44230571?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
67,Химик,https://kazan.hh.ru/vacancy/44229811?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
68,Химик,https://kazan.hh.ru/vacancy/44229813?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
69,Инженер-химик,https://kazan.hh.ru/vacancy/42718073?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,110000.0,,руб.
70,Химик-технолог (текстиль),https://kazan.hh.ru/vacancy/42871583?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
71,Инженер - химик (химик аналитик/хроматографист),https://kazan.hh.ru/vacancy/43927840?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,45000.0,руб.
72,Химик-аналитик,https://kazan.hh.ru/vacancy/44112208?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
73,Инженер- химик,https://kazan.hh.ru/vacancy/42747100?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,55000.0,,руб.
74,Химик-технолог,https://kazan.hh.ru/vacancy/44083193?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
75,Лаборант-химико-бактериологического анализа,https://kazan.hh.ru/vacancy/44039738?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,13857.0,17321.0,руб.
76,Химик-технолог,https://kazan.hh.ru/vacancy/44030314?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,35000.0,руб.
77,Химик (нефтепродукты),https://kazan.hh.ru/vacancy/43412171?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,114000.0,134000.0,руб.
78,Химик,https://kazan.hh.ru/vacancy/44230820?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
79,Химик,https://kazan.hh.ru/vacancy/44230877?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
80,Лаборант химико-спектрального анализа (Магаданская область),https://kazan.hh.ru/vacancy/46968213?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,85000.0,,руб.
81,Химик-аналитик ОКК,https://kazan.hh.ru/vacancy/46243083?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,60000.0,руб.
82,Технолог участка хроматографической очистки,https://kazan.hh.ru/vacancy/46895315?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
83,Начальник Химико - аналитической лаборатории,https://kazan.hh.ru/vacancy/44222490?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
84,Инженер-химик,https://kazan.hh.ru/vacancy/46858699?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,45000.0,,руб.
85,Специалист-микробиолог,https://kazan.hh.ru/vacancy/46968034?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,25000.0,25000.0,руб.
86,Химик-аналитик/Лаборант химического анализа,https://kazan.hh.ru/vacancy/46865340?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,50000.0,руб.
87,Химик-технолог,https://kazan.hh.ru/vacancy/42620560?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
